mut_type,mut_class,host,segment,actual_count,evo_opp,rate
AT,synonymous,all,HA,4229,12100.645701298487,0.34948548237770466
AT,synonymous,all,MP,1057,2150.5924412665986,0.49149247422141795
AT,synonymous,all,NA,2856,7034.575639450227,0.4059946393899611
AT,synonymous,all,NP,3012,7884.185408299866,0.3820305895938466
AT,synonymous,all,NS,655,1533.7520958083833,0.4270572811538843
AT,synonymous,all,PA,2804,8560.195996275605,0.3275625933354765
AT,synonymous,all,PB1,2932,9656.369440774988,0.30363378472444685
AT,synonymous,all,PB2,3636,11779.4356609574,0.30867353111417867
AT,synonymous,avian,HA,754,2114.306140820186,0.35661817626254766
AT,synonymous,avian,MP,349,738.55873340143,0.47254197156762545
AT,synonymous,avian,NA,496,1390.686341698395,0.35665842478488224
AT,synonymous,avian,NP,727,2095.9678714859438,0.34685646182381163
AT,synonymous,avian,NS,242,487.47065868263473,0.49644013581041574
AT,synonymous,avian,PA,585,1998.6080074487895,0.2927037206994626
AT,synonymous,avian,PB1,833,2696.094231616028,0.3089654620494118
AT,synonymous,avian,PB2,807,2806.2099253403603,0.287576489810227
AT,synonymous,human,HA,3065,8812.69515328129,0.3477937165293626
AT,synonymous,human,MP,539,1041.0817160367721,0.5177307330416722
AT,synonymous,human,NA,2000,4733.441992518174,0.4225255117018995
AT,synonymous,human,NP,1913,4823.032128514056,0.3966384525390633
AT,synonymous,human,NS,323,804.725748502994,0.4013789798585006
AT,synonymous,human,PA,1967,5821.770018621974,0.3378697533066745
AT,synonymous,human,PB1,1827,6073.69440774989,0.30080538751979213
AT,synonymous,human,PB2,2507,7914.277119016249,0.31676929709426477
AT,synonymous,swine,HA,310,872.5482921083628,0.3552811950968792
AT,synonymous,swine,MP,107,252.74463738508683,0.42335220682436336
AT,synonymous,swine,NA,283,687.2852477699607,0.4117649853801636
AT,synonymous,swine,NP,272,666.8828647925034,0.4078677296418932
AT,synonymous,swine,NS,58,159.40958083832336,0.36384262285229174
AT,synonymous,swine,PA,161,459.09636871508377,0.350688898826636
AT,synonymous,swine,PB1,162,547.400704535447,0.2959440838452733
AT,synonymous,swine,PB2,222,687.4826526130875,0.3229172389385958
CA,nonsense,all,HA,4,3900.8495775003375,0.0010254176482660472
CA,nonsense,all,MP,0,852.8876404494382,0.0
CA,nonsense,all,NA,0,2718.9624853397117,0.0
CA,nonsense,all,NP,0,1675.0642570281125,0.0
CA,nonsense,all,NS,11,806.9640718562874,0.013631337978525263
CA,nonsense,all,PA,2,2393.445996275605,0.0008356152606376585
CA,nonsense,all,PB1,26,2370.7313958608543,0.0109670796301067
CA,nonsense,all,PB2,0,2735.152832674572,0.0
CA,nonsense,avian,HA,0,662.3953562067339,0.0
CA,nonsense,avian,MP,0,314.67007150153216,0.0
CA,nonsense,avian,NA,0,590.5449730976751,0.0
CA,nonsense,avian,NP,0,462.1773761713521,0.0
CA,nonsense,avian,NS,6,251.73173652694612,0.023834896953319758
CA,nonsense,avian,PA,0,596.1452513966481,0.0
CA,nonsense,avian,PB1,1,692.1369440774989,0.0014448007848112056
CA,nonsense,avian,PB2,0,566.245937637242,0.0
CA,nonsense,human,HA,3,2865.616179319735,0.0010468952617067393
CA,nonsense,human,MP,0,374.13687436159347,0.0
CA,nonsense,human,NA,0,1756.259199256699,0.0
CA,nonsense,human,NP,0,1028.75702811245,0.0
CA,nonsense,human,NS,5,430.24910179640716,0.011621174754633161
CA,nonsense,human,PA,2,1588.5800744878957,0.0012589859536320397
CA,nonsense,human,PB1,25,1459.8410391897842,0.017125152211007213
